uuid,rank,parent_uuid
60208d6f-6e94-21f4-17f0-bba039d5f3c5,108608,e72dcdd4-665f-a168-3862-33727eded6f4
a16838c2-639a-ffd3-1089-7f88a756d38d,104469,6acfa7da-1dbd-936e-d985-cf07a1b27711
2ceaf8fa-beee-653d-84e5-047fd512c2cd,682271,23cd1b3a-7248-7e4f-ba6b-fced845e0598
47ab0bb3-afe3-3bd4-cf50-f834a5a15f06,43795,66fae545-244a-d1a2-fc77-ac9b849e6538
29c943e0-e915-c7ac-7e1e-d4c17e07415f,103293,4522b60d-0b04-827e-2b6c-6eaf236cf636
4b7b9111-5919-bfd8-a11f-436585c61cde,271899,fd80725f-53fc-7009-9878-aeecf1e9ffbb
9004f081-50bb-9e35-9f92-d12432420fb8,14196,e56b0ceb-bb30-bbec-805e-d5dc7412dcb1
e83b8f68-8bc9-6b56-220c-0ffbd470b931,5314,65aa5969-848e-4f37-9287-d320365935ea
481bc6f0-f082-929f-aae3-d2fb02a162bd,17776,4a4329d4-758b-de0e-96ee-c744cc7850eb
354d9012-b362-9a54-37c2-328b9fbe41da,61725,ddfe6b91-4541-7f5c-7d6a-724f75c98088
1966bb69-4bc9-1077-c181-fe3d67509160,85010,0e17d1a2-1f8c-728a-14d3-2a535f59c281
22875f87-0660-82e3-330f-01b7853e99f9,1982,148d24a5-c367-925e-8b99-3671d280f9bf
7b23c3e3-1e26-562a-8e84-fec1cbc5b472,73962,b1c5d726-1242-7ae0-98d3-71e4f0c6578d
a98539e6-4bde-261f-b46e-5ed0cd298f23,261316,814d79bd-fffa-2a11-c255-5f3438e93ba2
95fb57bf-8924-664b-b454-d0f22781382d,1429,af1cb234-2108-fc02-272a-5ade65278655
a9b18f40-1b7b-9cd2-f902-9578935759e2,79888,7103e064-eb56-1aeb-af09-2a4d53d03e16
a2cd37ed-c40c-ca92-8736-f56d56632ff0,195784,85459852-2f75-2bf9-bbe7-3df0e590e0a8
bec019d5-9fb7-ef11-f7a4-80a900e92976,129909,bf313e68-63a0-8281-a809-bc824b4c51f2
7d4f8bf9-8f49-3961-381c-c071cceadb22,76607,4522b60d-0b04-827e-2b6c-6eaf236cf636
6d95cf4d-9230-9072-680e-2702d224aebb,38783,3165094e-dafd-5e66-fbaf-9f1d5ad44864
c2ab272a-0f61-11d1-0be4-5ccd43e7011e,374011,636f4620-4d8d-fefb-23a5-3b7b44cedae3
51b78c11-37c8-3ae8-94f2-ca743a3056bb,484886,5013da3e-e74d-099e-755e-5fcb63894383
1014883c-6297-6921-10a9-af2cb13c9206,118579,51c665ce-10ce-4bc8-9394-87caa2e6c447
c83121ff-a364-8a32-3e25-48d348a2af3a,420365,3d647490-e4dd-a58f-401b-86893b3c04e0
c0dcd187-dae1-d2a1-0fb8-aab7bb50ae03,106083,44113048-1d0b-e4d3-d44d-50e8dd49243e
18d3fd0c-1f72-f74d-b191-3027ef5e732b,1043463,c2c33026-c90f-18da-2f11-7fdb0fd569b8
1324b8a9-342a-4c30-340d-222bc6e0cef7,1933,868d0c54-1f18-d5bc-d48f-6b7b09f71cf1
8644a6f9-b3e2-165f-5f44-f13bc03e7be4,168350,148d24a5-c367-925e-8b99-3671d280f9bf
ad933125-9b18-016c-53de-ef099b71d1f3,244184,7a2512ce-16cb-75ac-2f6b-84ff53b41d03
8c725124-83b2-cd3f-9af3-4117ac81f75b,80,427116a5-bba9-9e28-dbc8-2330f2a5ffad
f5e7370f-0a20-206e-df93-2125cfcc51b2,153473,795d9d78-8e66-6eac-2a13-95a23ec92ce5
63b4712e-2c89-6365-ae12-b5e6fbb38587,1177350,4efb1bfc-b70d-5d1b-e711-ca4b7e975cbf
64ae5140-a734-3a1a-d0bb-5b2e5dd6599b,129094,7501994d-dc2c-f877-3482-e0fb41e21807
420afb30-906a-3282-8b9c-8c4f87240d5c,47559,1f2d7988-b461-f905-b8ab-c9a773063bd7
53f0ebd6-be40-7ef3-f324-3651a5b71cf1,872739,d9c5f7c9-0b23-45d6-2fcc-79722895a73f
cebf7175-ac5a-6f5c-e08f-cba027ec1ccd,115547,e34d6925-1261-768f-e935-3ef7ace31376
28430e5e-1856-b404-b53f-83e8434458a4,23783,4522b60d-0b04-827e-2b6c-6eaf236cf636
9c3b6c82-06d6-1363-7e60-18f4e4998e44,113943,57be0b6d-1e41-b1c9-bc6d-4a72b8bdcd29
9881e522-b34d-ed0c-5018-7a926164b0dd,476783,d070317a-226b-626b-695d-026ca89fd562
389010cf-2f24-fc37-594d-503300d9b31a,176733,744d7fbe-c008-b470-e744-072592d81458
893cce0a-e6b4-49db-c3b7-9de486c842e7,120585,00d387ed-1aaa-d820-d19d-5cafa31bf1d3
2b53f8fa-212f-3111-5a52-2255b5c484b3,102318,756936c0-c335-f0ae-0a3d-fe26bdff5695
4770bec0-1594-9cba-a7fc-86522f409e62,390267,918e3f5a-6efd-619c-ed3f-26192b0a9423
