uuid,rank,country_code,region,city,investment_type,raised_amount_usd,post_money_valuation_usd,investor_count,org_uuid,lead_investor_uuids
151ac4ee-eb1a-f301-ac5d-7b102c28e8cf,59216.0,USA,New Hampshire,Amherst,series_unknown,14000000.0,,3.0,37508f8b-ed9a-ddef-c484-dc26e612df2a,
e7ddfab0-a1bf-959e-4fd9-bd3af27c35a4,276741.0,CAN,Ontario,Toronto,series_unknown,12820000.0,,3.0,a3578430-2521-a6f6-daa8-432af2ac15fc,
1686849d-ca72-c85c-16e0-80d83fd91ff8,208721.0,ISR,Tel Aviv,Tel Aviv,series_a,1500000.0,,1.0,b4509d11-2d93-0d60-34cc-fbc0d692abce,
8e107520-f24c-fc67-56a5-d6bf9ef36d6d,110967.0,USA,California,San Mateo,series_e,12500000.0,,3.0,365f2923-5996-25d9-a425-8c3dc0964fe4,
011ff077-bb20-16a9-905f-681c74a0bee0,337284.0,USA,Colorado,Greenwood Village,series_b,12500000.0,,4.0,4425d51c-84b1-0690-157e-aefc97b01b46,
7338541e-4097-0ff2-51be-d6f811570c38,92411.0,USA,New Jersey,Hoboken,series_unknown,12000000.0,,4.0,8d36e391-5417-9c61-cc35-a2efe4e0f02b,
c88be582-5b74-2846-f83b-8350f4c32f14,133149.0,USA,New York,New York,series_unknown,12000000.0,,3.0,6dedd5a5-dad5-7f43-f2d4-121c5b377727,93f820b6-fb41-7618-b5c5-e585c27ebeff
99b91fa1-2cc0-f059-410a-85219ee5f127,349236.0,USA,California,Redwood City,series_d,12000000.0,,4.0,9a74703d-4e74-9f6b-568b-4c3238be6b44,
cc38b71b-b158-43c3-afeb-ebc617ecaab4,108286.0,USA,Colorado,Denver,series_unknown,10000000.0,,3.0,f53cb4de-236e-0b1b-dee8-7104a8b018f9,72375264-49c4-0276-a6ee-17a3af34a9e9
da9813cc-b7ca-eb1a-1ac8-74ee0c575446,214933.0,USA,Massachusetts,Boston,series_b,7000000.0,,3.0,30116b86-d866-fc8a-1837-23f7cfaec15e,c93a9ab9-0689-95c0-f782-8aab416aca70
cf06e1e9-bad2-f9a3-1f8a-34d404cf35bd,226712.0,USA,Massachusetts,Boston,series_unknown,10000000.0,,1.0,bd4432cd-504b-d3f3-1938-d888ac27d943,bcc558d8-464e-23fb-0a96-554a755bf4fc
3e35725e-773b-e468-2e8a-d84d0d2323e9,353520.0,USA,Texas,Austin,series_c,10000000.0,,3.0,8dbcf3ea-9743-5425-d8ab-21762804d4da,
562a5271-f614-672a-3ff0-fb5992f0196f,279516.0,USA,Massachusetts,Andover,series_b,10000000.0,,2.0,790ffa30-d549-3096-af07-39acb9a31dc7,"0e09f1a3-ab17-d2d6-80a4-4425f38e4078,4e735dd7-c7c5-f189-370c-67bfb8e413dd"
c4e52656-d8be-6abf-e880-1a7b618a9afc,347774.0,USA,California,San Francisco,pre_seed,15000.0,,2.0,fab6ab01-2a8f-2f29-833f-92b990161b55,"3718597a-dd39-6661-3630-09cdd43bcac2,c98dc9ff-3e2f-45fc-927d-a2e3c6e83b1a"
9f70992c-48a5-6d6f-829a-593fd732bd82,216134.0,USA,Colorado,Boulder,seed,15000.0,,2.0,c116422a-0225-5dbf-2dde-1fd9e9eb6f14,
048b646c-7466-5909-3dc6-d66d53448059,269724.0,USA,Colorado,Denver,seed,15000.0,,2.0,5de9c992-f071-6a29-8569-993ca75846c7,
b0785e5f-880a-98a6-d6b9-1b899c4e6d9e,156136.0,USA,New York,New York,seed,15000.0,,2.0,7025121a-20ba-505a-95de-7c262a6c660a,
582b959d-58b7-ce44-48e3-f3a8c3211fd2,229720.0,USA,Colorado,Boulder,pre_seed,15000.0,,2.0,dba606d8-3d21-1bdb-a6ee-78db6a430b55,"3718597a-dd39-6661-3630-09cdd43bcac2,c98dc9ff-3e2f-45fc-927d-a2e3c6e83b1a"
4706b97e-c726-4fc0-1c95-1a6c0c8de6b9,342573.0,IND,Uttar Pradesh,Noida,series_unknown,9350000.0,,1.0,1653a8e0-0c51-4d08-b707-941248b2f66f,efcafa11-7566-d16b-e456-548f6f7ca99d
ea92fefb-1406-6bdd-b381-beef0634cc95,346484.0,CAN,Ontario,Richmond Hill,series_unknown,9350000.0,,2.0,0a949d90-873c-ed8e-1607-437bccfea831,
8be5936a-5b83-2cb3-d249-7de681b7906c,106338.0,USA,Texas,Austin,series_unknown,9300000.0,,3.0,43070b63-87a0-2d7f-2b59-af8c63e48487,b2cb565c-53ed-ef05-c858-a4fd15ab75ba
37953118-3633-1332-4267-bf548d9767e0,202288.0,USA,California,San Francisco,angel,,,1.0,7846c306-1a17-e172-9a00-9ff3bf986b09,
2818d072-f6e6-6250-b578-8285cc1a0908,188912.0,USA,California,Palo Alto,series_a,3000000.0,,1.0,7e804afd-b370-e85d-b0d5-722e83dfcd39,ed24f9ce-2313-cb8c-8ff2-9de6899ea992
7c06148b-2842-60dd-30a3-e0f226c84dd6,344127.0,USA,California,Belmont,series_c,7000000.0,,3.0,5e36ffb2-6564-303f-51b8-1518796959bd,
05bb5ce8-c658-5d1b-ae14-95c68d11fbc9,335723.0,USA,Florida,Deerfield Beach,seed,500000.0,,,52e3ade1-10ea-318b-862f-6499b2088d96,
450cbdc1-47a8-4c33-ceb6-d641a0f80c01,336782.0,USA,California,San Diego,series_c,12163277.0,,5.0,ea091a8c-40e0-0607-e05a-86e734f94ade,
20938bc6-f2a8-03b4-5c8f-dd701ec71f90,289682.0,DNK,Hovedstaden,Kongens Lyngby,angel,320000.0,,,9bc7a170-4c74-6dab-2cb5-3e687d3cab06,
eddc0160-56ba-66c3-7d57-ed8b5220f17f,188791.0,USA,California,Los Angeles,series_unknown,10000000.0,,4.0,ca7f615c-8d32-98b5-9807-17d40ae9afa8,6efb9171-a87b-212d-f399-b0613da7b1c9
0a9ebf89-8cba-e04b-bbcb-f90d1409ea9a,161322.0,USA,Utah,Salt Lake City,series_c,12000000.0,,4.0,3f766fcd-305c-004e-6b7a-16300f7be952,76c506a0-a56e-2f7b-9c15-2c4740ca51e1
