company_name,employee_count,num_funding_rounds,fd_rd_latest_investment,cat_lending_invests,cat_payments,cat_commerce_shopping,first_fund_investor_count,first_fund_post_money,num_exec,fd_rd_num_invested_by_top_100,average_momentum
Payvil,1,4.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,3.7144097477225135
Scroll,2,3.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.522414490070838
Jusp,2,3.0,2.0,0.0,1.0,0.0,1.0,0.0,22.0,0.0,1.5782161525903728
Rocket Dollar,2,4.0,1.0,0.0,0.0,0.0,11.0,0.0,5.0,0.0,3.190738321646976
Kashmi,2,3.0,1.0,0.0,1.0,0.0,5.0,0.0,11.0,0.0,3.3162684740897808
TruStory,1,2.0,1.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,3.4125986939054105
Lightyear,1,2.0,1.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,1.4338481751676029
Expediente Azul,1,4.0,0.0,1.0,0.0,0.0,3.0,0.0,5.0,0.0,2.1313440788597307
Origin,2,2.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,2.0052135552436336
Deel,3,5.0,3.0,0.0,1.0,0.0,13.0,0.0,10.0,3.0,3.813620181440741
Conta Simples,2,3.0,1.0,1.0,0.0,0.0,13.0,0.0,3.0,1.0,3.2297686726403554
Sunbit,4,4.0,3.0,0.0,0.0,1.0,7.0,0.0,10.0,0.0,3.170175244599305
FaithStreet,2,3.0,1.0,0.0,0.0,0.0,7.0,0.0,5.0,0.0,1.6666666666666667
Goodtime Labs,1,3.0,1.0,0.0,1.0,1.0,12.0,0.0,6.0,0.0,2.277678748266983
goDutch,2,2.0,1.0,0.0,1.0,0.0,11.0,0.0,3.0,0.0,3.3426604342223736
Jiko,2,4.0,2.0,1.0,0.0,0.0,5.0,0.0,4.0,0.0,1.4917186099536284
VertoFX,1,3.0,1.0,0.0,1.0,1.0,6.0,0.0,2.0,1.0,3.4569871027788857
EverVest,5,4.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.2767806195375124
Moni Technologies,2,3.0,1.0,0.0,1.0,0.0,5.0,0.0,12.0,0.0,1.5225638977635785
Coverfy,3,4.0,2.0,0.0,0.0,0.0,9.0,0.0,7.0,0.0,2.6915973549389767
Akredo,1,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1237575607619426
CodeIsTrust,2,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.98153040864016
Stem,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.768528088513278
Monkee,1,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.3122557939246584
Finrise,2,2.0,1.0,0.0,0.0,0.0,10.0,0.0,7.0,0.0,1.906292125651884
Solfácil,3,3.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.8840603037357484
Avenify,1,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,3.3176244402241446
Helium Health,2,5.0,2.0,0.0,1.0,0.0,12.0,0.0,4.0,0.0,3.7934064512913306
FindBoB,1,4.0,1.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,2.4908827610310578
Ubio,4,6.0,1.0,0.0,1.0,1.0,3.0,0.0,6.0,0.0,1.2171002586338049
Ledger Investing,2,4.0,2.0,0.0,0.0,1.0,10.0,0.0,4.0,0.0,3.9334950841220246
Crent,2,2.0,1.0,1.0,1.0,0.0,2.0,0.0,6.0,0.0,0.6636580833554556
TradeHero,3,3.0,2.0,1.0,0.0,0.0,1.0,0.0,12.0,1.0,3.634455906945127
Weavr,1,2.0,1.0,0.0,1.0,0.0,7.0,0.0,2.0,0.0,1.9183265110042467
KodyPay,2,3.0,1.0,0.0,1.0,1.0,6.0,0.0,19.0,0.0,0.8886897005367198
Webbankir,5,2.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,3.3395353275130013
Owl.co,2,2.0,1.0,1.0,0.0,0.0,7.0,0.0,4.0,0.0,3.930434247793505
Plutus Software,1,5.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.018418648007425
