company_name,num_funding_rounds,fd_rd_latest_investment,cat_lending_invests,cat_payments,cat_commerce_shopping,first_fund_investor_count,first_fund_post_money,num_exec,fd_rd_num_invested_by_top_100,tree_prediction,average_momentum
Paid,3.0,1.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,1,3.341687552213871
Webbankir,2.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1,3.3395353275130013
Belvo,4.0,2.0,1.0,0.0,0.0,11.0,0.0,3.0,1.0,1,3.338959510775898
Bitaccess,3.0,1.0,0.0,1.0,0.0,8.0,0.0,4.0,0.0,1,3.3349245064638664
Goodly,2.0,1.0,0.0,0.0,0.0,6.0,0.0,2.0,1.0,1,3.3332768371157537
TempoIQ,4.0,2.0,0.0,0.0,0.0,11.0,0.0,7.0,0.0,1,3.3329950841887475
Moretickets,4.0,4.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,1,3.3304161227897766
Kashmi,3.0,1.0,0.0,1.0,0.0,5.0,0.0,11.0,0.0,1,3.3162684740897808
Wonder Technologies,3.0,1.0,0.0,1.0,1.0,10.0,0.0,9.0,0.0,1,3.3014967625399008
PolarBear100X,2.0,1.0,1.0,0.0,0.0,0.0,3930156.0,2.0,0.0,1,3.2792247275411732
TopCheck,2.0,1.0,0.0,0.0,1.0,8.0,0.0,7.0,0.0,1,3.277160807518152
EverVest,4.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1,3.2767806195375124
OPay,2.0,3.0,0.0,1.0,0.0,0.0,0.0,7.0,2.0,1,3.2679738562091503
LoanStar Technologies,4.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1,3.2678929979587794
Conta Simples,3.0,1.0,1.0,0.0,0.0,13.0,0.0,3.0,1.0,1,3.2297686726403554
BuyCoins,3.0,1.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,1,3.2221367369618528
Ubooly,3.0,1.0,0.0,0.0,0.0,16.0,0.0,6.0,0.0,1,3.2073521934249016
TalkBe,2.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,1,3.1710069739545625
Sunbit,4.0,3.0,0.0,0.0,1.0,7.0,0.0,10.0,0.0,1,3.170175244599305
Swiss Vault,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1,3.1256971631929225
GainBit,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,3.11075091889944
Step,3.0,3.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,1,3.1038079935121803
Butter,2.0,1.0,0.0,1.0,0.0,2.0,14500000.0,0.0,0.0,1,3.1030431987942464
Forexfix,2.0,1.0,1.0,0.0,0.0,6.0,0.0,7.0,0.0,1,3.0530551162011834
The Kueq Limited,3.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,1,3.046753246753247
Liumi,2.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1,3.02345751758072
Keeper Tax,3.0,1.0,0.0,0.0,0.0,4.0,9950000.0,2.0,2.0,1,3.0173286912594923
MUNITEDPASS TECHNOLOGIES,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1,2.9666620641144616
Honeycomb Credit,4.0,1.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,1,2.958603815227647
MainStreet,2.0,1.0,0.0,0.0,0.0,14.0,0.0,14.0,0.0,1,2.9510690058302527
HypoPlus,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1,2.9508944668888955
iFunding,5.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1,2.9505029639789893
SurBTC,3.0,1.0,1.0,1.0,0.0,3.0,0.0,6.0,0.0,1,2.9396175320452187
TheBankCloud,2.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1,2.932475440518189
ToneTag,4.0,0.0,0.0,1.0,1.0,6.0,0.0,2.0,0.0,1,2.9242449700307467
Novatti Group,2.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,1,2.9224332116959335
Coinsquare,5.0,3.0,1.0,1.0,0.0,0.0,0.0,11.0,0.0,1,2.9148582409708763
FundShop,3.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1,2.9131727983673286
Quotanda,7.0,1.0,0.0,0.0,0.0,8.0,4350000.0,5.0,1.0,1,2.9013286677861805
Pelotea Inc.,3.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1,2.892583239207083
Liquefy,2.0,1.0,0.0,1.0,0.0,5.0,0.0,4.0,0.0,1,2.8883711117633237
Solfácil,3.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1,2.8840603037357484
WealthHub Solutions,3.0,1.0,0.0,0.0,0.0,4.0,0.0,10.0,0.0,1,2.8741040382733605
Castle Hill,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1,2.867525047563016
Jio Technologies Limited,3.0,1.0,0.0,1.0,0.0,3.0,7090185.0,7.0,0.0,1,2.8587473974647613
Bizzy Labs,4.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,1,2.82325060075199
Arextech,3.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,1,2.821368460992149
Access Integrated Healthcare,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1,2.8145277103817117
MO Tecnologias,3.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1,2.79604369082578
Hedera Hashgraph,6.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1,2.7718996977953267
BudgetBakers.com,4.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,1,2.76184749513157
Tappr,3.0,2.0,0.0,1.0,0.0,2.0,7620121.0,18.0,0.0,1,2.7578148196512258
Qbera,4.0,1.0,0.0,0.0,1.0,7.0,0.0,6.0,0.0,1,2.7566839263885243
Zego,5.0,3.0,0.0,0.0,0.0,3.0,0.0,10.0,0.0,1,2.75426186389116
Sonect,6.0,2.0,1.0,1.0,0.0,2.0,0.0,7.0,1.0,1,2.7431856764273626
LumoXchange,3.0,1.0,0.0,0.0,1.0,3.0,3450000.0,5.0,0.0,1,2.7333427778092645
QuadFi,5.0,0.0,0.0,0.0,0.0,0.0,5000000.0,0.0,0.0,1,2.7124430536588653
Yuansfer,4.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1,2.7117643020662627
Flutterwave,11.0,3.0,0.0,1.0,0.0,18.0,0.0,11.0,3.0,1,2.705875648463615
Paytm Payments Bank,2.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,1,2.6996470940856536
Acala Network,2.0,2.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0,1,2.6995679496781424
Coverfy,4.0,2.0,0.0,0.0,0.0,9.0,0.0,7.0,0.0,1,2.6915973549389767
Finhaven,2.0,2.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,1,2.682126189049431
PingPong,6.0,4.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,1,2.681017740490561
Vouch Financial,3.0,2.0,1.0,0.0,0.0,5.0,0.0,6.0,0.0,1,2.674156675729599
Monetsu,2.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,1,2.674154298703027
Cybertonica,4.0,2.0,0.0,1.0,0.0,4.0,0.0,8.0,0.0,1,2.6728357941684084
Eligma,3.0,1.0,0.0,1.0,0.0,1.0,11742504.0,16.0,0.0,1,2.6648655161136063
WebCurfew,3.0,1.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,1,2.6645220196034587
